Date,Price,Open,High,Low,Volume,Chg%
08-12-2021,4805.5,4815,4830,4795.6,4.90K,-0.01%
09-12-2021,4793.9,4803.5,4816,4786.9,4.99K,-0.24%
10-12-2021,4816.4,4798.1,4826,4786.2,6.15K,0.47%
13-12-2021,4830.3,4821.3,4834.8,4813.1,4.83K,0.29%
14-12-2021,4807.2,4826.4,4836.1,4792.5,5.80K,-0.48%
15-12-2021,4808.7,4803.9,4824,4795,4.50K,0.03%
16-12-2021,4864.6,4829.6,4867.7,4827.6,5.90K,1.16%
17-12-2021,4859.4,4870,4878.5,4851,4.72K,-0.11%
20-12-2021,4824,4859.4,4864.3,4821.1,4.34K,-0.73%
21-12-2021,4806.7,4815.1,4829.8,4799.1,4.38K,-0.36%
22-12-2021,4819.9,4811.5,4822,4797.5,3.33K,0.27%
23-12-2021,4815.2,4826.8,4834,4803.5,3.53K,-0.10%
24-12-2021,4811.9,4818.5,4826.3,4806.6,1.85K,-0.07%
27-12-2021,4806.6,4811.9,4824.8,4805,3.24K,-0.11%
28-12-2021,4804.2,4830,4832.8,4800.2,4.18K,-0.05%
29-12-2021,4783.9,4800.2,4801.2,4757.7,6.37K,-0.42%
30-12-2021,4788.5,4780,4789.9,4757.9,4.38K,0.10%
31-12-2021,4809.9,4794.6,4813.4,4779.5,4.28K,0.45%
03-01-2022,4771.6,4805,4813,4769.1,6.65K,-0.80%
04-01-2022,4794.9,4781,4799.7,4774,4.71K,0.49%
05-01-2022,4802.1,4798.2,4816.9,4785.1,4.66K,0.15%
06-01-2022,4745.1,4776.8,4786.5,4740,7.90K,-1.19%
07-01-2022,4745.2,4737,4758.6,4730,4.51K,0.00%
10-01-2022,4745.5,4739.4,4749.9,4730.1,4.39K,0.01%
11-01-2022,4768.9,4758.9,4770,4746,4.49K,0.49%
12-01-2022,4780.8,4768.2,4784.3,4762.8,3.84K,0.25%
13-01-2022,4773.6,4780.4,4791.7,4765,3.75K,-0.15%
14-01-2022,4777.8,4784.1,4799.3,4775.6,4.28K,0.09%
17-01-2022,4791.7,4783.5,4796.5,4780.3,2.41K,0.29%
18-01-2022,4792.6,4795,4804.7,4778,5.08K,0.02%
19-01-2022,4837.7,4794.9,4841.6,4791.1,5.69K,0.94%
20-01-2022,4838,4837.9,4855.7,4831,3.67K,0.01%
21-01-2022,4824.9,4839,4852.3,4815.3,4.04K,-0.27%
24-01-2022,4856.4,4832.3,4860,4830,5.21K,0.65%
25-01-2022,4885.1,4860.8,4891.2,4854,4.58K,0.59%
27-01-2022,4791,4855,4855,4785.3,5.96K,-1.93%
28-01-2022,4761.1,4795,4800,4747.9,3.50K,-0.62%
31-01-2022,4768.6,4759,4780.2,4749.9,0.72K,0.16%
01-02-2022,4796.5,4773.6,4809.9,4758.1,0.13K,0.59%
02-02-2022,4792.2,4785,4804.6,4769.2,0.04K,-0.09%
03-02-2022,4784.9,4809.9,4809.9,4751.7,0.02K,-0.15%
04-02-2022,4790.4,4700,4802.5,4700,0.01K,0.11%
07-02-2022,4822.8,4801.1,4824.7,4799.5,3.55K,0.68%
08-02-2022,4842.9,4827,4847.4,4817.4,4.20K,0.42%
09-02-2022,4866,4842,4871.5,4840.3,4.48K,0.48%
10-02-2022,4895.5,4869.4,4899,4855.1,5.28K,0.61%
11-02-2022,4911.4,4875,4913.4,4864.3,5.31K,0.32%
14-02-2022,4991.6,4945,5001.1,4944.3,6.46K,1.63%
15-02-2022,4938.5,5015.1,5032.5,4923,7.51K,-1.06%
16-02-2022,4961.8,4939.4,4966,4924.9,4.03K,0.47%
17-02-2022,5039.2,4957.7,5043.8,4955.7,7.36K,1.56%
18-02-2022,5011.2,5017.7,5027.4,4982.9,5.70K,-0.56%
21-02-2022,5007.8,5007.1,5013.9,4976.4,4.24K,-0.07%
22-02-2022,5032.8,5044.7,5068.7,5005.7,7.80K,0.50%
23-02-2022,5037.9,5038.9,5041.4,4995.1,5.72K,0.10%
24-02-2022,5154.3,5080,5279.7,5080,15.81K,2.31%
25-02-2022,5022.1,5118,5118,5004,9.45K,-2.56%
28-02-2022,5076,5088,5121.1,5050.5,10.64K,1.07%
01-03-2022,5181.6,5120,5187.6,5115.9,5.40K,2.08%
02-03-2022,5129.4,5170,5207,5119.2,9.59K,-1.01%
03-03-2022,5177,5156.2,5195.1,5139.1,7.65K,0.93%
04-03-2022,5255.9,5190.2,5260.1,5180,9.22K,1.52%
07-03-2022,5351.7,5326.6,5401,5281.3,10.51K,1.82%
08-03-2022,5422.4,5363.9,5555.8,5335.6,13.38K,1.32%
09-03-2022,5274.5,5491.7,5519,5262.6,10.90K,-2.73%
10-03-2022,5323.9,5260.1,5348.8,5243.7,8.00K,0.94%
11-03-2022,5287.8,5308.9,5320.3,5224,8.33K,-0.68%
14-03-2022,5230.4,5262.3,5278.6,5212.5,6.95K,-1.09%
15-03-2022,5156.4,5200.1,5208,5122,8.30K,-1.41%
16-03-2022,5114.7,5134.6,5151.9,5102.8,5.13K,-0.81%
17-03-2022,5164.7,5167.8,5183.7,5136.6,5.86K,0.98%
18-03-2022,5144.7,5165,5171.3,5136,1.71K,-0.39%
21-03-2022,5165.5,5143,5189,5135,5.05K,0.40%
22-03-2022,5137.9,5177,5194.9,5115,6.55K,-0.53%
23-03-2022,5176.7,5136.5,5180,5122.4,4.53K,0.76%
24-03-2022,5207.8,5170.2,5215.5,5164.8,5.74K,0.60%
25-03-2022,5187.6,5207.5,5210,5176.2,3.68K,-0.39%
28-03-2022,5157.1,5172.1,5178.4,5137,4.65K,-0.59%
29-03-2022,5081.3,5134.2,5138.3,5035.4,8.07K,-1.47%
30-03-2022,5095.3,5097.9,5126.3,5081.1,3.67K,0.28%
31-03-2022,5158.5,5090.6,5171.8,5090.6,0.13K,1.24%
01-04-2022,5134.4,5148,5155.1,5127.5,0.13K,-0.47%
04-04-2022,5126.6,5122.4,5135,5120,0.02K,-0.15%
05-04-2022,5141.3,5130.4,5167,5116,0.03K,0.29%
06-04-2022,5159.6,5139.8,5183.7,5132,5.75K,0.36%
07-04-2022,5189.7,5161.1,5198.2,5155,4.35K,0.58%
08-04-2022,5207.1,5173.4,5219.7,5168.1,5.29K,0.34%
11-04-2022,5217.9,5212.6,5274,5202.1,5.69K,0.21%
12-04-2022,5287.8,5237.5,5300,5237.5,6.48K,1.34%
13-04-2022,5308.1,5285,5315,5280.7,3.76K,0.38%
14-04-2022,5299.2,5301,5311,5270,2.93K,-0.17%
18-04-2022,5327.2,5347,5366.3,5321.8,5.24K,0.53%
19-04-2022,5274.9,5324.8,5341.6,5266,6.28K,-0.98%
20-04-2022,5262.8,5256.2,5265,5231,5.28K,-0.23%
21-04-2022,5241.3,5262.8,5264.9,5214.4,5.28K,-0.41%
22-04-2022,5226.1,5252.9,5266.2,5210.4,6.73K,-0.29%
25-04-2022,5139.3,5203.3,5211.5,5130,8.93K,-1.66%
26-04-2022,5158.4,5146,5176.9,5141,5.11K,0.37%
27-04-2022,5119.9,5154.5,5163.6,5108.2,7.57K,-0.75%
28-04-2022,5126.2,5108.9,5133.5,5082.8,5.95K,0.12%
29-04-2022,5175.4,5149.9,5187.9,5149.9,6.04K,0.96%
02-05-2022,5065.9,5127,5132.2,5048.1,10.57K,-2.12%
03-05-2022,5080.8,5055.5,5099.2,5051.5,2.61K,0.29%
04-05-2022,5061,5067.5,5083,5050.2,6.19K,-0.39%
05-05-2022,5089.9,5092.1,5155.7,5085.3,9.29K,0.57%
06-05-2022,5134.3,5093.6,5153.8,5090.5,5.86K,0.87%
09-05-2022,5095.9,5125.9,5138.6,5090.1,5.77K,-0.75%
10-05-2022,5058.6,5097.1,5111.8,5051.1,6.39K,-0.73%
11-05-2022,5082.2,5044.9,5088.8,5032.2,6.73K,0.47%
12-05-2022,5017.4,5093.9,5094.6,5014,7.24K,-1.28%
13-05-2022,4987.3,5006.7,5024.9,4967,7.46K,-0.60%
16-05-2022,5024.8,4993,5029.7,4957.2,5.43K,0.75%
17-05-2022,5017.3,5039.9,5058,5013,5.25K,-0.15%
18-05-2022,5021.8,5012,5036.6,4986.3,6.97K,0.09%
19-05-2022,5054.4,5028,5076,5005.8,6.35K,0.65%
20-05-2022,5082.9,5047.1,5086,5047.1,6.15K,0.56%
23-05-2022,5090.7,5089.7,5115.6,5080.8,4.25K,0.15%
24-05-2022,5115.7,5094,5124.6,5088,5.02K,0.49%
25-05-2022,5081.9,5110.9,5113.2,5070.5,6.20K,-0.66%
26-05-2022,5087.1,5084,5092,5058,5.01K,0.10%
27-05-2022,5091.3,5095.2,5106.6,5085,4.38K,0.08%
30-05-2022,5091.5,5097.4,5111.2,5090.1,1.23K,0.00%
31-05-2022,5085.5,5095.9,5118,5080,0.52K,-0.12%
01-06-2022,5078.8,5065.4,5090.3,5046.2,0.05K,-0.13%
02-06-2022,5125.5,5092.8,5135.9,5092.8,0.02K,0.92%
03-06-2022,5130.6,5130.6,5130.6,5130.6,0.00K,0.10%
06-06-2022,5087,5112.6,5113.3,5081.5,5.77K,-0.85%
07-06-2022,5096.8,5078.7,5107,5068.1,4.86K,0.19%
08-06-2022,5105.1,5090,5115.5,5085.1,4.55K,0.16%
09-06-2022,5100.5,5104.6,5113.5,5080.5,4.58K,-0.09%
10-06-2022,5170.1,5090,5179.7,5042,11.97K,1.36%
13-06-2022,5066.4,5153,5166,5055.1,9.02K,-2.01%
14-06-2022,5019.5,5053.7,5066.7,5015.1,6.59K,-0.93%
